"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2022","466.590","469.450","469.660","466.595","52.08K","-0.60%"
"12/14/2022","469.390","469.450","470.215","468.150","70.23K","0.02%"
"12/13/2022","469.300","469.860","470.660","468.150","82.59K","-0.06%"
"12/12/2022","469.590","470.360","472.860","468.360","47.69K","-0.04%"
"12/09/2022","469.800","471.360","473.860","469.595","50.60K","-0.27%"
"12/08/2022","471.090","473.860","473.860","470.845","47.19K","-0.45%"
"12/07/2022","473.200","470.860","474.620","470.495","48.05K","0.55%"
"12/06/2022","470.590","470.360","473.715","470.080","44.99K","0.11%"
"12/05/2022","470.090","470.160","470.360","468.595","43.16K","0.04%"
"12/02/2022","469.890","467.850","470.460","467.360","60.89K","0.47%"
"12/01/2022","467.700","469.060","469.610","467.150","86.92K","-0.23%"
"11/30/2022","468.790","467.650","470.560","467.620","66.14K","0.28%"
"11/29/2022","467.500","468.260","469.265","467.645","80.94K","-0.11%"
"11/28/2022","468.000","465.460","470.145","465.395","58.10K","0.58%"
"11/25/2022","465.300","465.150","467.360","463.950","67.49K","0.06%"
"11/24/2022","465.000","464.860","466.860","464.650","81.14K","0.09%"
"11/23/2022","464.590","463.650","465.060","461.620","66.71K","0.24%"
"11/22/2022","463.500","463.560","464.860","462.150","51.24K","0.05%"
"11/21/2022","463.290","461.960","465.360","461.150","47.67K","0.35%"
"11/18/2022","461.690","458.360","461.960","457.950","47.65K","0.79%"
"11/17/2022","458.090","459.960","460.965","457.045","43.69K","-0.35%"
"11/16/2022","459.690","460.160","460.560","458.445","40.68K","-0.04%"
"11/15/2022","459.890","461.260","463.860","459.095","50.52K","-0.24%"
"11/14/2022","460.990","460.360","462.260","458.360","45.63K","0.20%"
"11/11/2022","460.090","467.460","467.460","458.850","46.90K","-1.52%"
"11/10/2022","467.190","466.760","470.715","465.650","45.48K","0.13%"
"11/09/2022","466.590","465.150","467.960","464.260","65.92K","0.34%"
"11/08/2022","465.000","464.150","465.560","461.760","58.63K","0.41%"
"11/07/2022","463.110","465.060","465.560","461.345","49.09K","-0.38%"
"11/04/2022","464.890","466.760","466.760","463.760","45.72K","-0.35%"
"11/03/2022","466.500","461.160","466.760","461.145","49.17K","1.19%"
"11/02/2022","461.000","462.560","463.150","459.560","53.45K","-0.32%"
"11/01/2022","462.500","467.260","467.760","462.190","51.84K","-0.96%"
"10/31/2022","467.000","468.260","471.150","466.690","52.57K","-0.21%"
"10/28/2022","468.000","464.150","470.520","463.960","95.20K","0.86%"
"10/27/2022","464.000","468.550","469.150","462.645","97.60K","-0.94%"
"10/26/2022","468.400","471.260","472.960","468.150","80.14K","-0.82%"
"10/21/2022","472.260","469.960","473.875","469.445","45.20K","0.75%"
"10/20/2022","468.750","470.260","470.775","467.260","44.39K","-0.29%"
"10/19/2022","470.090","471.410","472.760","469.360","47.18K","-0.30%"
"10/18/2022","471.500","472.560","474.850","471.260","47.46K","-0.32%"
"10/17/2022","473.000","476.010","476.010","472.560","46.41K","-0.60%"
"10/14/2022","475.840","478.060","478.760","475.150","44.86K","-0.43%"
"10/13/2022","477.890","478.650","481.760","477.950","68.63K","-0.13%"
"10/12/2022","478.500","477.360","480.250","476.150","79.13K","0.27%"
"10/11/2022","477.190","474.460","477.750","473.360","41.63K","0.61%"
"10/10/2022","474.290","472.260","474.750","472.260","49.36K","0.47%"
"10/07/2022","472.090","471.150","473.460","470.150","67.01K","0.23%"
"10/06/2022","471.000","470.060","471.150","466.350","77.50K","0.26%"
"10/05/2022","469.790","472.250","473.060","468.795","68.58K","-0.49%"
"10/04/2022","472.100","475.650","475.860","471.145","99.25K","-0.72%"
"10/03/2022","475.500","476.660","477.215","474.575","81.86K","-0.19%"
"09/30/2022","476.390","477.210","479.075","474.725","48.61K","0.04%"
"09/29/2022","476.210","477.860","479.860","475.360","37.86K","-0.29%"
"09/28/2022","477.590","478.860","480.660","476.860","50.21K","-0.21%"
"09/27/2022","478.590","478.860","480.425","477.640","47.25K","0.08%"
"09/26/2022","478.190","480.860","481.850","476.360","51.28K","-0.76%"
"09/23/2022","481.840","479.260","482.165","478.350","48.97K","0.60%"
"09/22/2022","478.990","479.860","482.545","479.145","48.27K","-0.13%"
"09/21/2022","479.590","476.860","480.360","475.860","48.49K","0.63%"
"09/20/2022","476.590","478.150","479.615","476.650","64.65K","-0.29%"
"09/19/2022","478.000","475.660","478.460","475.150","78.08K","0.55%"
"09/16/2022","475.390","476.000","478.360","474.725","70.16K","-0.10%"
"09/15/2022","475.850","473.450","476.090","473.025","120.39K","0.54%"
"09/14/2022","473.300","472.760","474.465","472.625","89.29K","0.17%"
"09/13/2022","472.490","473.060","474.360","472.460","49.87K","-0.06%"
"09/12/2022","472.790","472.600","473.265","470.860","50.66K","0.04%"
"09/09/2022","472.590","475.760","475.860","472.060","44.29K","-0.61%"
"09/08/2022","475.490","473.860","479.860","473.860","45.26K","0.40%"
"09/07/2022","473.590","472.960","475.260","472.250","45.86K","0.19%"
"09/06/2022","472.690","472.660","473.750","471.760","50.24K","0.06%"
"09/05/2022","472.390","470.660","473.860","470.660","52.30K","0.36%"
"09/02/2022","470.700","471.060","473.250","470.295","57.78K","-0.02%"
"09/01/2022","470.790","473.050","473.050","470.660","44.73K","-0.40%"
"08/31/2022","472.690","468.860","473.660","467.250","43.77K","-0.21%"
"08/26/2022","473.690","465.860","476.060","465.750","50.75K","1.74%"
"08/25/2022","465.590","464.250","467.860","462.860","66.49K","0.34%"
"08/24/2022","464.000","466.160","466.160","458.860","80.82K","-0.56%"
"08/23/2022","466.600","473.360","473.860","465.760","53.66K","-1.37%"
"08/22/2022","473.090","476.710","476.710","472.645","48.80K","-0.70%"
"08/19/2022","476.440","476.160","477.050","475.750","45.81K","0.12%"
"08/18/2022","475.890","476.460","476.765","475.360","46.26K","-0.06%"
"08/17/2022","476.190","476.760","477.770","475.250","47.69K","-0.06%"
"08/16/2022","476.490","476.460","477.060","476.260","48.21K","0.06%"
"08/15/2022","476.190","477.060","478.625","474.695","47.17K","-0.13%"
"08/12/2022","476.790","476.250","477.625","475.360","72.38K","0.17%"
"08/11/2022","476.000","478.460","478.560","475.860","80.33K","-0.46%"
"08/10/2022","478.190","479.250","480.860","477.060","73.18K","-0.17%"
"08/09/2022","479.000","477.110","480.125","476.950","84.81K","0.45%"
